file,model_name,task_type,input,timestamp,fallback,job_description_score_AI,job_description_scores,section_name,job_analysis_score_AI,job_analysis_scores,hazard_assessment_score_AI,hazard_assessment_scores,redesign_suggestions_score_AI,redesign_suggestions_scores,total_AI
batch_reports\multi\The_order_picker_carries_the_flatware_tr_54.json,unknown,multi,"The order picker carries the flatware tray to the shipping dock, then carefully lifts it up to begin loading the items onto the pallet, and finally places the tray on top of the stacked goods as the receiving team is instructed to prepare for shipment.",2025-12-12 01:59:52,False,6.2,"{'structure': 6.5, 'coherence': 6.5, 'style': 5.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.100000000000001,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",6.7,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.5, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.5
batch_reports\multi\The_order_picker_enters_the_packaging_li_49.json,unknown,multi,"The order picker enters the packaging line and pushes a trolley filled with parts boxes towards the conveyor belt, then picks up a specific box from the trolley and pushes it onto the conveyor belt to be scanned, followed by pushing the remaining contents of the now-empty trolley away from the conveyor belt and onto a designated storage area.",2025-12-12 01:31:10,False,6.4,"{'structure': 6.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,8.899999999999999,"{'structure': 9.0, 'coherence': 9.5, 'style': 7.5, 'semantic_alignment': 2.5}",5.800000000000001,"{'structure': 6.0, 'coherence': 6.0, 'style': 5.0, 'semantic_alignment': 8.5}",6.4,"{'structure': 7.0, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 2.75}",6.875
batch_reports\multi\The_order_picker_rotates_the_metal_blank_20.json,unknown,multi,The order picker rotates the metal blanks on a pallet as it moves down the warehouse aisle.,2025-12-12 02:12:08,False,6.800000000000001,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",6.9,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 5.75}",6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 3.0}",7.375000000000001
batch_reports\multi\The_punch_press_operator_lifts_the_flatw_45.json,unknown,multi,"The punch press operator lifts the flatware tray off the overhead rack in the warehouse aisle, then carries it to a designated sorting station, follows the aisle's fluorescent lighting and worn concrete floor as she sets the tray down on a metal shelving unit, and finally begins manually sorting the various sizes and types of flatware onto separate shelves in preparation for packaging and shipping.",2025-12-12 01:18:03,False,6.9,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 8.5}",redesign_suggestions,9.3,"{'structure': 9.5, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",6.9,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 5.75}",8.100000000000001,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 2.85}",7.800000000000001
batch_reports\multi\The_punch_press_operator_rotates_the_par_7.json,unknown,multi,The punch press operator rotates the parts box 90 degrees clockwise on a pallet at the shipping dock to access its contents.,2025-12-12 00:06:51,False,6.5,"{'structure': 7.0, 'coherence': 6.5, 'style': 5.5, 'semantic_alignment': 8.5}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 5.75}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.475
batch_reports\repetitive\As_a_packaging_worker_continuously_pulls_25.json,unknown,repetitive,"As a packaging worker continuously pulls parts from the designated storage area for most of the shift, they continually re-pull the same items from the parts box throughout the entire shift without interruption, ensuring a steady supply to meet production demands.",2025-12-12 00:38:30,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.7}",redesign_suggestions,9.3,"{'structure': 9.5, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",8.05
batch_reports\repetitive\As_a_packaging_worker__you_continuously__29.json,unknown,repetitive,"As a packaging worker, you continuously rotate the flatware tray on your body throughout the shift to maintain stability and prevent it from shifting or falling, which is repeated every time you move along the warehouse aisle for most of the shift.",2025-12-12 00:46:37,False,6.9,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,7.8,"{'structure': 7.5, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 7.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.475
batch_reports\repetitive\For_most_of_the_shift__a_dishroom_worker_34.json,unknown,repetitive,"For most of the shift, a dishroom worker continuously rotates the parts box at the press station to maintain even distribution and prevent damage throughout the production process.",2025-12-12 00:54:48,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.7}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",7.5,"{'structure': 7.5, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 8.5}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.775
batch_reports\repetitive\The_order_picker_lifts_the_20kg_parts_bo_35.json,unknown,repetitive,The order picker lifts the 20kg parts box repeatedly throughout the shift to clean and dry it after each use in the dishwashing area.,2025-12-12 00:54:54,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.35}",redesign_suggestions,9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.7,"{'structure': 7.0, 'coherence': 7.5, 'style': 4.5, 'semantic_alignment': 8.5}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.85}",7.625
batch_reports\repetitive\The_punch_press_operator_continuously_pu_24.json,unknown,repetitive,The punch press operator continuously pushes the plate rack throughout the shift in the dishwashing area to ensure efficient loading and unloading of plates for most of the shift.,2025-12-12 00:31:06,False,7.0,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 2.5}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",6.5,"{'structure': 6.5, 'coherence': 7.0, 'style': 5.5, 'semantic_alignment': 8.5}",6.4,"{'structure': 7.0, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 2.5}",7.225
batch_reports\repetitive\The_warehouse_worker_carefully_rotates_t_8.json,unknown,repetitive,The warehouse worker carefully rotates the parts box on the conveyor belt to ensure even alignment for efficient packaging.,2025-12-12 00:06:20,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.7}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.6
batch_reports\repetitive\Throughout_most_of_the_shift__continuous_39.json,unknown,repetitive,"Throughout most of the shift, continuously rotate the parts box at the shipping dock to ensure even distribution and prevent damage as a dishroom worker.",2025-12-12 01:02:31,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.35}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",7.2,"{'structure': 6.5, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.825
batch_reports\repetitive\Throughout_the_shift__an_order_picker_co_40.json,unknown,repetitive,"Throughout the shift, an order picker continuously pulls flatware trays repeatedly from the warehouse aisle to the picking station, requiring sustained concentration and attention to detail as they move throughout the section.",2025-12-12 01:03:02,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.85}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.4,"{'structure': 7.0, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 8.5}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.85}",7.45
batch_reports\repetitive\Throughout_the_shift__as_a_punch_press_o_38.json,unknown,repetitive,"Throughout the shift, as a punch press operator, you will continually lift flatware trays from the dishwashing area to store them on designated shelves, repeatedly making multiple trips with each tray until all items are stowed away.",2025-12-12 01:02:24,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",7.699999999999999,"{'structure': 8.0, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 8.5}",8.2,"{'structure': 8.5, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",8.0
batch_reports\repetitive\Throughout_the_shift__a_dishroom_worker__26.json,unknown,repetitive,"Throughout the shift, a dishroom worker continuously carries flatware trays from the shipping dock to the designated storage area.",2025-12-12 00:38:33,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.85}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.6,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 3.0}",7.275
batch_reports\repetitive\Throughout_the_shift__a_dishroom_worker__28.json,unknown,repetitive,"Throughout the shift, a dishroom worker continuously rotates a parts box stored in the warehouse aisle to ensure even weight distribution and prevent shifting during transportation.",2025-12-12 00:38:50,False,6.6,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.35}",redesign_suggestions,6.699999999999999,"{'structure': 6.5, 'coherence': 7.5, 'style': 5.5, 'semantic_alignment': 3.0}",6.800000000000001,"{'structure': 7.5, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 2.85}",6.9750000000000005
batch_reports\repetitive\Throughout_the_shift__a_packaging_worker_31.json,unknown,repetitive,"Throughout the shift, a packaging worker continuously pushes the heavy plate rack around the dishwashing area to clear space for efficient packing operations.",2025-12-12 00:46:46,False,7.300000000000001,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",7.0,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.775
batch_reports\repetitive\Throughout_the_shift__a_punch_press_oper_23.json,unknown,repetitive,"Throughout the shift, a punch press operator continuously carries the heavy glass rack from the manufacturing area to the dishwashing area, repeating this motion repeatedly for most of the shift as part of their designated cleaning and maintenance tasks.",2025-12-12 00:30:55,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.5}",redesign_suggestions,9.100000000000001,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",6.4,"{'structure': 6.5, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.6000000000000005
batch_reports\repetitive\Throughout_the_shift__a_punch_press_oper_32.json,unknown,repetitive,"Throughout the shift, a punch press operator continuously carries the plate rack from the packaging line to the storage area and back again, repeatedly making the journey at least 20 times without taking a break.",2025-12-12 00:46:57,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 3.0}",redesign_suggestions,9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.2,"{'structure': 7.0, 'coherence': 6.0, 'style': 5.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.624999999999999
batch_reports\repetitive\Throughout_the_shift__a_punch_press_oper_36.json,unknown,repetitive,"Throughout the shift, a punch press operator continuously carries a flatware tray from the dishwashing area to their workstation, repeatedly navigating around equipment and colleagues for most of the shift.",2025-12-12 00:55:04,False,6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.7}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",7.5,"{'structure': 7.5, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.825
batch_reports\repetitive\Throughout_the_shift__a_warehouse_worker_21.json,unknown,repetitive,"Throughout the shift, a warehouse worker continuously rotates the metal blanks to ensure even distribution of weight and prevent any one piece from becoming misshapen, repeatedly doing so for most of the time as they work on the production line.",2025-12-12 00:30:46,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.35}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",8.2,"{'structure': 8.0, 'coherence': 9.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.7250000000000005
batch_reports\repetitive\Throughout_the_shift__a_warehouse_worker_37.json,unknown,repetitive,"Throughout the shift, a warehouse worker continuously pulls metal blanks through the press station to replenish the inventory on the conveyor belt for most of the shift.",2025-12-12 01:02:21,False,7.0,"{'structure': 7.5, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 2.5}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 8.5}",7.8999999999999995,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.5, 'semantic_alignment': 3.0}",7.925
batch_reports\repetitive\Throughout_the_shift__the_order_picker_c_30.json,unknown,repetitive,"Throughout the shift, the order picker continuously carries heavy parts boxes from the storage area to the picking station in the warehouse aisle, repeatedly placing them on the designated shelves and retrieving new ones for restocking as needed.",2025-12-12 00:46:40,False,7.1,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 2.7}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.8,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",6.2,"{'structure': 6.5, 'coherence': 6.5, 'style': 5.0, 'semantic_alignment': 3.0}",7.225
